,f1,f2
MRK,0.037960223853588104,0.011088773608207703
MS,0.037519074976444244,0.010642677545547485
MSCI,0.037431709468364716,0.010348409414291382
MSFT,0.03780347853899002,0.010936625301837921
MSI,0.03827150911092758,0.011871963739395142
MTB,0.03780455142259598,0.011659763753414154
MTCH,0.03794687241315842,0.01124921441078186
MTD,0.03755882382392883,0.010587431490421295
MU,0.0364411324262619,0.00909867137670517
NCLH,0.039863213896751404,0.01602122187614441
NDAQ,0.03664209693670273,0.009552843868732452
NDSN,0.03852483630180359,0.01222943514585495
NEE,0.037427350878715515,0.010291345417499542
NEM,0.03758905082941055,0.010831467807292938
NFLX,0.03837033361196518,0.011917591094970703
NI,0.037740275263786316,0.010855577886104584
NKE,0.03747890889644623,0.010532788932323456
NOC,0.03761546313762665,0.010542117059230804
NOW,0.03797954320907593,0.01143326610326767
NRG,0.038875728845596313,0.013124816119670868
NSC,0.038110703229904175,0.011553704738616943
NTAP,0.03840628266334534,0.012044697999954224
NTRS,0.0377122163772583,0.011052481830120087
NUE,0.03897786885499954,0.013088665902614594
NVDA,0.03794745355844498,0.011374026536941528
NVR,0.0385112464427948,0.011971570551395416
NWS,0.03792019933462143,0.011296920478343964
NWSA,0.037921689450740814,0.011318154633045197
NXPI,0.03862423449754715,0.01310594379901886
O,0.03745733201503754,0.01048944890499115
ODFL,0.03925144672393799,0.015115104615688324
OKE,0.038107432425022125,0.012049347162246704
OMC,0.037806592881679535,0.010931849479675293
ON,0.03855380415916443,0.012785881757736206
ORCL,0.03764437139034271,0.011124543845653534
ORLY,0.038189321756362915,0.011521704494953156
OXY,0.037818774580955505,0.011268101632595062
PANW,0.03876812011003494,0.012826956808567047
PAYC,0.038239143788814545,0.011931799352169037
PAYX,0.03772246837615967,0.010980814695358276
PCAR,0.03877270221710205,0.012796282768249512
PCG,0.037800081074237823,0.010960519313812256
PEG,0.037754908204078674,0.010823436081409454
PEP,0.037484221160411835,0.010331369936466217
PFE,0.03636419028043747,0.008962400257587433
PFG,0.03826099634170532,0.011878125369548798
PG,0.03791045397520065,0.011052139103412628
PGR,0.03764371573925018,0.0105561763048172
PH,0.038735345005989075,0.012560069561004639
PHM,0.038442179560661316,0.011814840137958527
PKG,0.037791118025779724,0.010953128337860107
PLD,0.03778450936079025,0.01126282662153244
PM,0.038049712777137756,0.011177390813827515
PNC,0.03762555867433548,0.010791800916194916
PNR,0.03868812322616577,0.012814275920391083
PNW,0.03761133551597595,0.010622791945934296
PODD,0.03764529526233673,0.010585986077785492
POOL,0.03868889808654785,0.012793287634849548
PPG,0.038383856415748596,0.012319125235080719
PPL,0.03738260269165039,0.010249219834804535
PRU,0.038190290331840515,0.011826522648334503
PSA,0.037894971668720245,0.01109129935503006
PSKY,0.037640281021595,0.010986357927322388
PSX,0.03758559376001358,0.011088341474533081
PTC,0.03778470307588577,0.010841608047485352
PWR,0.03858675807714462,0.012307003140449524
PYPL,0.037760697305202484,0.010760784149169922
QCOM,0.03775884211063385,0.011406473815441132
RCL,0.03918137401342392,0.013373367488384247
REG,0.03811925649642944,0.01198577880859375
REGN,0.035954080522060394,0.008594639599323273
RF,0.03763461858034134,0.011196956038475037
RJF,0.03855091333389282,0.012572169303894043
RL,0.03809170424938202,0.011466190218925476
RMD,0.03763836622238159,0.01066608726978302
ROK,0.038592055439949036,0.012335598468780518
ROL,0.03823959827423096,0.011609986424446106
ROP,0.03833649307489395,0.011835135519504547
ROST,0.0383458137512207,0.011745862662792206
RSG,0.038396336138248444,0.011942267417907715
RTX,0.037649303674697876,0.010640166699886322
RVTY,0.03782963752746582,0.01110047847032547
SBAC,0.037917569279670715,0.01127529889345169
SBUX,0.037387311458587646,0.010336637496948242
SCHW,0.03832632303237915,0.012186355888843536
SHW,0.038796551525592804,0.012973397970199585
SJM,0.03703334927558899,0.009733505547046661
SLB,0.038244426250457764,0.011898435652256012
SMCI,0.03800754249095917,0.015290677547454834
SNA,0.038568876683712006,0.012295395135879517
SNPS,0.03767713904380798,0.011033117771148682
SO,0.037352368235588074,0.010179243981838226
SPG,0.03832464665174484,0.01236056536436081
SPGI,0.03812222182750702,0.011405833065509796
SRE,0.037486933171749115,0.010456323623657227
STE,0.03860986977815628,0.012593723833560944
STLD,0.03869664669036865,0.012585461139678955
STT,0.03777456283569336,0.011010058224201202
STX,0.037494949996471405,0.01075030118227005
STZ,0.03777370601892471,0.010846950113773346
SW,0.0355820506811142,0.008212171494960785
SWK,0.03862905502319336,0.01277240365743637
SWKS,0.03820484131574631,0.01256214827299118
