,GSPC
2022-01-07,-0.018704788181950524
2022-01-14,-0.003031771904682511
2022-01-21,-0.05681292572179305
2022-01-28,0.007710463694771867
2022-02-04,0.01549684352733878
2022-02-11,-0.018195557489162788
2022-02-18,-0.01578993024380137
2022-02-25,0.008227374971453387
2022-03-04,-0.012721605236129283
2022-03-11,-0.02877426562169013
2022-03-18,0.06155827115194171
2022-03-25,0.01791122338348028
2022-04-01,0.0006162816804950287
2022-04-08,-0.012666487717779775
2022-04-15,-0.021319959090500138
2022-04-22,-0.027503150280612856
2022-04-29,-0.03273801937566046
2022-05-06,-0.0020790119062517247
2022-05-13,-0.024118785969732135
2022-05-20,-0.03045058101173454
2022-05-27,0.06584373651241295
2022-06-03,-0.01195221836911742
2022-06-10,-0.05054835286161993
2022-06-17,-0.05794107281653567
2022-06-24,0.06446536357442743
2022-07-01,-0.022089891538061474
2022-07-08,0.019357755585838438
2022-07-15,-0.009288648911272701
2022-07-22,0.02548948864230632
2022-07-29,0.04257342589769195
2022-08-05,0.003607471195202554
2022-08-12,0.0325582091159169
2022-08-19,-0.012071988844761319
2022-08-26,-0.040397511433987836
2022-09-02,-0.03287606779110328
2022-09-09,0.03646549853988819
2022-09-16,-0.0477041678563992
2022-09-23,-0.04649748253405576
2022-09-30,-0.029137059931369884
2022-10-07,0.015071254944950194
2022-10-14,-0.015548113042573584
2022-10-21,0.04735601827577948
2022-10-28,0.039520367355605886
2022-11-04,-0.03345501166487324
2022-11-11,0.05897810132015486
2022-11-18,-0.00690967390421094
2022-11-25,0.015327822569994778
2022-12-02,0.011321031826595229
2022-12-09,-0.03372548812685791
2022-12-16,-0.020846938484240365
2022-12-23,-0.0019572518799510774
2022-12-30,-0.0013836976151773805
2023-01-06,0.014475863556452664
2023-01-13,0.026702919498305406
2023-01-20,-0.006621501363255667
2023-01-27,0.024656321290850786
2023-02-03,0.016194312558005408
2023-02-10,-0.011125406081630538
2023-02-17,-0.002779607466019327
2023-02-24,-0.026733915279747316
2023-03-03,0.019042592208585743
2023-03-10,-0.045493373007604095
2023-03-17,0.014255734926430447
2023-03-24,0.013876715538551616
2023-03-31,0.03483264090303363
2023-04-07,-0.0010439803765910274
2023-04-14,0.007946396614948757
2023-04-21,-0.00099576498954966
2023-04-28,0.008699597623232979
2023-05-05,-0.00796981413135701
2023-05-12,-0.002942259746146872
2023-05-19,0.016464254102122208
2023-05-26,0.003213329955417333
2023-06-02,0.018290532119661498
2023-06-09,0.0038506120775426683
2023-06-16,0.025757987929439414
2023-06-23,-0.013892395391790796
2023-06-30,0.023468734630077547
2023-07-07,-0.01155624662483825
2023-07-14,0.024203439874348573
2023-07-21,0.006862827974119713
2023-07-28,0.010116115260186187
2023-08-04,-0.022740062318269017
2023-08-11,-0.0031219043060166252
2023-08-18,-0.02113324175974424
2023-08-25,0.008238533065539292
